"FREQ";"r xyce/I(PR2)";"i xyce/I(PR2)"
0;-6.85681e-20;0
5e+10;-5.34657e-20;-0.000571428
1e+11;-1.87215e-20;-1.20132e-19
1.5e+11;2.58944e-20;-5.27858e-20
-1.5e+11;2.23626e-20;2.02969e-20
-1e+11;2.59858e-21;-1.56942e-20
-5e+10;-4.90306e-20;0.000617347
0;9.53404e-19;0
5e+10;-4.90306e-20;-0.000617347
1e+11;2.59858e-21;1.56942e-20
1.5e+11;2.23626e-20;-2.02969e-20
-1.5e+11;-9.31682e-22;1.13051e-19
-1e+11;1.70226e-20;3.19387e-20
-5e+10;-3.91648e-20;0.000663265
0;1.36451e-19;0
5e+10;-3.91648e-20;-0.000663265
1e+11;1.70226e-20;-3.19387e-20
1.5e+11;-9.31682e-22;-1.13051e-19
-1.5e+11;6.87946e-20;7.96203e-20
-1e+11;-3.11316e-20;8.83169e-20
-5e+10;-6.12251e-20;0.000709184
0;2.7385e-18;0
5e+10;-6.12251e-20;-0.000709184
1e+11;-3.11316e-20;-8.83169e-20
1.5e+11;6.87946e-20;-7.96203e-20
-1.5e+11;-4.61192e-21;5.8203e-20
-1e+11;-1.95326e-20;3.94073e-20
-5e+10;-3.66791e-20;0.000755102
0;-4.88264e-19;0
5e+10;-3.66791e-20;-0.000755102
1e+11;-1.95326e-20;-3.94073e-20
1.5e+11;-4.61192e-21;-5.8203e-20
-1.5e+11;5.74207e-20;9.70888e-21
-1e+11;8.09894e-21;8.09028e-21
-5e+10;-9.36213e-20;0.00080102
0;2.27245e-19;0
5e+10;-9.36213e-20;-0.00080102
1e+11;8.09894e-21;-8.09028e-21
1.5e+11;5.74207e-20;-9.70888e-21
-1.5e+11;1.56842e-20;9.14555e-20
-1e+11;-1.28347e-21;6.59697e-20
-5e+10;-5.88359e-20;0.000846939
0;2.59477e-19;0
5e+10;-5.88359e-20;-0.000846939
1e+11;-1.28347e-21;-6.59697e-20
1.5e+11;1.56842e-20;-9.14555e-20
-1.5e+11;-7.19747e-21;1.18803e-19
-1e+11;-1.05e-20;3.86336e-20
-5e+10;-5.09193e-20;0.000892857
0;3.06806e-18;0
5e+10;-5.09193e-20;-0.000892857
1e+11;-1.05e-20;-3.86336e-20
1.5e+11;-7.19747e-21;-1.18803e-19
-1.5e+11;7.48615e-20;9.18103e-20
-1e+11;-8.08399e-21;2.0396e-20
-5e+10;-1.12953e-19;0.000938775
0;3.23807e-19;0
5e+10;-1.12953e-19;-0.000938775
1e+11;-8.08399e-21;-2.0396e-20
1.5e+11;7.48615e-20;-9.18103e-20
-1.5e+11;1.76246e-20;6.61463e-20
-1e+11;4.13848e-21;6.32984e-20
-5e+10;-5.929e-20;0.000984694
0;3.22491e-20;0
5e+10;-5.929e-20;-0.000984694
1e+11;4.13848e-21;-6.32984e-20
1.5e+11;1.76246e-20;-6.61463e-20
-1.5e+11;3.47539e-20;-1.85292e-20
-1e+11;-1.33442e-20;5.49103e-20
-5e+10;-1.17196e-19;0.00103061
0;-1.67795e-18;0
5e+10;-1.17196e-19;-0.00103061
1e+11;-1.33442e-20;-5.49103e-20
1.5e+11;3.47539e-20;1.85292e-20
-1.5e+11;5.38208e-20;-9.68556e-21
-1e+11;-3.44461e-20;-1.50202e-21
-5e+10;-9.11232e-20;0.00107653
0;-6.00454e-18;0
5e+10;-9.11232e-20;-0.00107653
1e+11;-3.44461e-20;1.50202e-21
1.5e+11;5.38208e-20;9.68556e-21
-1.5e+11;1.03032e-19;9.60014e-20
-1e+11;-1.94212e-20;9.20422e-20
-5e+10;-1.11128e-19;0.00112245
0;3.7344e-18;0
5e+10;-1.11128e-19;-0.00112245
1e+11;-1.94212e-20;-9.20422e-20
1.5e+11;1.03032e-19;-9.60014e-20
-1.5e+11;2.36937e-20;7.18731e-20
-1e+11;4.2797e-20;1.45818e-19
-5e+10;-9.95556e-20;0.00116837
0;1.92269e-16;0
5e+10;-9.95556e-20;-0.00116837
1e+11;4.2797e-20;-1.45818e-19
1.5e+11;2.36937e-20;-7.18731e-20
-1.5e+11;6.65666e-20;4.07568e-21
-1e+11;-6.94842e-20;-3.62947e-20
-5e+10;-6.04218e-20;0.00121429
0;-3.78341e-16;0
5e+10;-6.04218e-20;-0.00121429
1e+11;-6.94842e-20;3.62947e-20
1.5e+11;6.65666e-20;-4.07568e-21
-1.5e+11;1.38426e-19;2.13916e-19
-1e+11;-4.99294e-20;2.6079e-19
-5e+10;-1.21664e-19;0.0012602
0;-1.38888e-16;0
5e+10;-1.21664e-19;-0.0012602
1e+11;-4.99294e-20;-2.6079e-19
1.5e+11;1.38426e-19;-2.13916e-19
-1.5e+11;7.17482e-20;1.19709e-20
-1e+11;7.60481e-20;1.13713e-19
-5e+10;-1.57547e-19;0.00130612
0;-6.34899e-16;0
5e+10;-1.57547e-19;-0.00130612
1e+11;7.60481e-20;-1.13713e-19
1.5e+11;7.17482e-20;-1.19709e-20
-1.5e+11;-6.77349e-20;1.02441e-19
-1e+11;5.44261e-20;7.00913e-20
-5e+10;-9.51046e-21;0.00135204
0;1.09328e-17;0
5e+10;-9.51046e-21;-0.00135204
1e+11;5.44261e-20;-7.00913e-20
1.5e+11;-6.77349e-20;-1.02441e-19
-1.5e+11;1.10349e-19;1.51945e-19
-1e+11;2.84387e-20;9.60831e-20
-5e+10;-1.79583e-19;0.00139796
0;2.06241e-15;0
5e+10;-1.79583e-19;-0.00139796
1e+11;2.84387e-20;-9.60831e-20
1.5e+11;1.10349e-19;-1.51945e-19
-1.5e+11;1.01262e-19;-3.95669e-20
-1e+11;1.89879e-20;-1.06529e-20
-5e+10;-1.50534e-19;0.00144388
0;-1.27895e-16;0
5e+10;-1.50534e-19;-0.00144388
1e+11;1.89879e-20;1.06529e-20
1.5e+11;1.01262e-19;3.95669e-20
-1.5e+11;1.97139e-20;1.00793e-20
-1e+11;-1.19497e-19;-8.24533e-20
-5e+10;-1.19105e-19;0.0014898
0;-3.55137e-17;0
5e+10;-1.19105e-19;-0.0014898
1e+11;-1.19497e-19;8.24533e-20
1.5e+11;1.97139e-20;-1.00793e-20
-1.5e+11;5.0767e-20;1.9309e-19
-1e+11;2.07724e-20;1.58092e-19
-5e+10;-1.61865e-19;0.00153571
0;5.09795e-16;0
5e+10;-1.61865e-19;-0.00153571
1e+11;2.07724e-20;-1.58092e-19
1.5e+11;5.0767e-20;-1.9309e-19
-1.5e+11;3.28522e-20;1.79563e-19
-1e+11;9.61733e-20;1.02952e-19
-5e+10;-1.80297e-19;0.00158163
0;-7.66492e-17;0
5e+10;-1.80297e-19;-0.00158163
1e+11;9.61733e-20;-1.02952e-19
1.5e+11;3.28522e-20;-1.79563e-19
-1.5e+11;1.32739e-19;2.07668e-19
-1e+11;-1.37592e-20;1.35747e-19
-5e+10;-1.92061e-19;0.00162755
0;2.42958e-16;0
5e+10;-1.92061e-19;-0.00162755
1e+11;-1.37592e-20;-1.35747e-19
1.5e+11;1.32739e-19;-2.07668e-19
-1.5e+11;2.06433e-20;-1.53452e-19
-1e+11;1.61783e-19;-4.81796e-20
-5e+10;-1.22044e-19;0.00167347
0;1.86791e-15;0
5e+10;-1.22044e-19;-0.00167347
1e+11;1.61783e-19;4.81796e-20
1.5e+11;2.06433e-20;1.53452e-19
-1.5e+11;1.21962e-19;2.17904e-19
-1e+11;6.93324e-21;7.08801e-20
-5e+10;-1.76747e-19;0.00171939
0;-2.33887e-16;0
5e+10;-1.76747e-19;-0.00171939
1e+11;6.93324e-21;-7.08801e-20
1.5e+11;1.21962e-19;-2.17904e-19
-1.5e+11;9.71163e-20;-1.20235e-19
-1e+11;7.00226e-21;-6.21292e-20
-5e+10;-1.48075e-19;0.00176531
0;-2.12405e-15;0
5e+10;-1.48075e-19;-0.00176531
1e+11;7.00226e-21;6.21292e-20
1.5e+11;9.71163e-20;1.20235e-19
-1.5e+11;3.3379e-20;1.59473e-19
-1e+11;5.65346e-20;2.63105e-19
-5e+10;-1.56368e-19;0.00181122
0;1.21907e-15;0
5e+10;-1.56368e-19;-0.00181122
1e+11;5.65346e-20;-2.63105e-19
1.5e+11;3.3379e-20;-1.59473e-19
-1.5e+11;8.91859e-20;-9.74714e-20
-1e+11;-2.10658e-22;1.14813e-19
-5e+10;-1.77046e-19;0.00185714
0;6.62391e-15;0
5e+10;-1.77046e-19;-0.00185714
1e+11;-2.10658e-22;-1.14813e-19
1.5e+11;8.91859e-20;9.74714e-20
-1.5e+11;1.48703e-19;-3.56072e-20
-1e+11;-2.46785e-20;-4.7099e-21
-5e+10;-2.29527e-19;0.00190306
0;9.16451e-16;0
5e+10;-2.29527e-19;-0.00190306
1e+11;-2.46785e-20;4.7099e-21
1.5e+11;1.48703e-19;3.56072e-20
-1.5e+11;8.84961e-20;4.36463e-19
-1e+11;9.37798e-21;2.48182e-19
-5e+10;-2.00406e-19;0.00194898
0;3.49207e-15;0
5e+10;-2.00406e-19;-0.00194898
1e+11;9.37798e-21;-2.48182e-19
1.5e+11;8.84961e-20;-4.36463e-19
