"FREQ";"r xyce/V(VIN)";"i xyce/V(VIN)"
1e+11;0.00064479;0.00113833
1.5e+11;-0.000114169;-6.09991e-05
-1.5e+11;-0.000136164;7.44426e-05
-1e+11;0.000748883;-0.00126437
-5e+10;-0.0226255;0.0902876
0;1.37092;0
5e+10;-0.0226255;-0.0902876
1e+11;0.000748883;0.00126437
1.5e+11;-0.000136164;-7.44426e-05
-1.5e+11;-0.000160493;9.0447e-05
-1e+11;0.00086694;-0.00139473
-5e+10;-0.0241691;0.0953351
0;1.3778;0
5e+10;-0.0241691;-0.0953351
1e+11;0.00086694;0.00139473
1.5e+11;-0.000160493;-9.0447e-05
-1.5e+11;-0.000187924;0.000109494
-1e+11;0.00100088;-0.00152827
-5e+10;-0.0257906;0.100418
0;1.385;0
5e+10;-0.0257906;-0.100418
1e+11;0.00100088;0.00152827
1.5e+11;-0.000187924;-0.000109494
-1.5e+11;-0.000222212;0.000130983
-1e+11;0.00115419;-0.00166127
-5e+10;-0.0275042;0.105534
0;1.39242;0
5e+10;-0.0275042;-0.105534
1e+11;0.00115419;0.00166127
1.5e+11;-0.000222212;-0.000130983
-1.5e+11;-0.000279451;0.000147906
-1e+11;0.00133452;-0.0017793
-5e+10;-0.029337;0.110657
0;1.39746;0
5e+10;-0.029337;-0.110657
1e+11;0.00133452;0.0017793
1.5e+11;-0.000279451;-0.000147906
-1.5e+11;-0.000394557;0.00014659
-1e+11;0.00155982;-0.00185085
-5e+10;-0.031339;0.11572
0;1.40444;0
5e+10;-0.031339;-0.11572
1e+11;0.00155982;0.00185085
1.5e+11;-0.000394557;-0.00014659
-1.5e+11;-0.000571659;0.0001284
-1e+11;0.0018473;-0.00186832
-5e+10;-0.0335461;0.12069
0;1.4119;0
5e+10;-0.0335461;-0.12069
1e+11;0.0018473;0.00186832
1.5e+11;-0.000571659;-0.0001284
-1.5e+11;-0.000771753;0.000113545
-1e+11;0.00220358;-0.00185947
-5e+10;-0.0359627;0.125597
0;1.41994;0
5e+10;-0.0359627;-0.125597
1e+11;0.00220358;0.00185947
1.5e+11;-0.000771753;-0.000113545
-1.5e+11;-0.000969794;0.000111824
-1e+11;0.00262219;-0.00184413
-5e+10;-0.0385659;0.130475
0;1.42593;0
5e+10;-0.0385659;-0.130475
1e+11;0.00262219;0.00184413
1.5e+11;-0.000969794;-0.000111824
-1.5e+11;-0.00116248;0.000119776
-1e+11;0.00308857;-0.00182741
-5e+10;-0.0413177;0.13534
0;1.43183;0
5e+10;-0.0413177;-0.13534
1e+11;0.00308857;0.00182741
1.5e+11;-0.00116248;-0.000119776
-1.5e+11;-0.00135202;0.00013172
-1e+11;0.00359002;-0.00180936
-5e+10;-0.0441885;0.140202
0;1.43848;0
5e+10;-0.0441885;-0.140202
1e+11;0.00359002;0.00180936
1.5e+11;-0.00135202;-0.00013172
-1.5e+11;-0.00153977;0.00014337
-1e+11;0.00411757;-0.00178898
-5e+10;-0.0471598;0.145063
0;1.44604;0
5e+10;-0.0471598;-0.145063
1e+11;0.00411757;0.00178898
1.5e+11;-0.00153977;-0.00014337
-1.5e+11;-0.00172609;0.00015179
-1e+11;0.00466493;-0.00176504
-5e+10;-0.0502209;0.149923
0;1.45267;0
5e+10;-0.0502209;-0.149923
1e+11;0.00466493;0.00176504
1.5e+11;-0.00172609;-0.00015179
-1.5e+11;-0.00191149;0.000155208
-1e+11;0.00522845;-0.0017367
-5e+10;-0.0533654;0.154784
0;1.46018;0
5e+10;-0.0533654;-0.154784
1e+11;0.00522845;0.0017367
1.5e+11;-0.00191149;-0.000155208
-1.5e+11;-0.00209626;0.000152241
-1e+11;0.00580547;-0.00170298
-5e+10;-0.0565894;0.159645
0;1.46763;0
5e+10;-0.0565894;-0.159645
1e+11;0.00580547;0.00170298
1.5e+11;-0.00209626;-0.000152241
-1.5e+11;-0.00228027;0.000141561
-1e+11;0.00639342;-0.00166261
-5e+10;-0.0598907;0.164505
0;1.47492;0
5e+10;-0.0598907;-0.164505
1e+11;0.00639342;0.00166261
1.5e+11;-0.00228027;-0.000141561
-1.5e+11;-0.00246163;0.0001218
-1e+11;0.006988;-0.0016141
-5e+10;-0.0632654;0.169356
0;1.48232;0
5e+10;-0.0632654;-0.169356
1e+11;0.006988;0.0016141
1.5e+11;-0.00246163;-0.0001218
-1.5e+11;-0.0026304;9.33837e-05
-1e+11;0.0075764;-0.00155756
-5e+10;-0.066694;0.174175
0;1.4859;0
5e+10;-0.066694;-0.174175
1e+11;0.0075764;0.00155756
1.5e+11;-0.0026304;-9.33837e-05
-1.5e+11;-0.00275625;6.34307e-05
-1e+11;0.00812499;-0.00149987
-5e+10;-0.0701112;0.178901
0;1.49345;0
5e+10;-0.0701112;-0.178901
1e+11;0.00812499;0.00149987
1.5e+11;-0.00275625;-6.34307e-05
-1.5e+11;-0.0028111;4.06378e-05
-1e+11;0.00860281;-0.00145034
-5e+10;-0.0734417;0.183478
0;1.50161;0
5e+10;-0.0734417;-0.183478
1e+11;0.00860281;0.00145034
1.5e+11;-0.0028111;-4.06378e-05
-1.5e+11;-0.00280742;2.45765e-05
-1e+11;0.00902238;-0.00140981
-5e+10;-0.0766873;0.18793
0;1.50833;0
5e+10;-0.0766873;-0.18793
1e+11;0.00902238;0.00140981
1.5e+11;-0.00280742;-2.45765e-05
-1.5e+11;-0.00276895;1.07789e-05
-1e+11;0.00940834;-0.00137493
-5e+10;-0.0798811;0.192303
0;1.51505;0
5e+10;-0.0798811;-0.192303
1e+11;0.00940834;0.00137493
1.5e+11;-0.00276895;-1.07789e-05
-1.5e+11;-0.0027107;-3.92669e-06
-1e+11;0.00977616;-0.00134359
-5e+10;-0.0830433;0.196625
0;1.52177;0
5e+10;-0.0830433;-0.196625
1e+11;0.00977616;0.00134359
1.5e+11;-0.0027107;3.92669e-06
-1.5e+11;-0.00264105;-2.13529e-05
-1e+11;0.0101344;-0.0013152
-5e+10;-0.0861823;0.200912
0;1.52849;0
5e+10;-0.0861823;-0.200912
1e+11;0.0101344;0.0013152
1.5e+11;-0.00264105;2.13529e-05
-1.5e+11;-0.00256507;-4.25859e-05
-1e+11;0.0104883;-0.00129009
-5e+10;-0.0892992;0.205173
0;1.53521;0
5e+10;-0.0892992;-0.205173
1e+11;0.0104883;0.00129009
1.5e+11;-0.00256507;4.25859e-05
