"FREQ";"r xyce/I(PR3)";"i xyce/I(PR3)"
-5e+10;-0.00208368;-0.00482366
0;8.13416e-18;0
5e+10;-0.00208368;0.00482366
1e+11;-9.0296e-05;-3.14321e-05
1.5e+11;-2.97006e-06;1.45332e-05
-1.5e+11;-3.12514e-06;-1.82856e-05
-1e+11;-0.000105622;3.62577e-05
-5e+10;-0.00219478;-0.00511645
0;6.22177e-18;0
5e+10;-0.00219478;0.00511645
1e+11;-0.000105622;-3.62577e-05
1.5e+11;-3.12514e-06;1.82856e-05
-1.5e+11;-3.2433e-06;-2.27915e-05
-1e+11;-0.000123252;4.16531e-05
-5e+10;-0.00230136;-0.00540938
0;-9.35458e-18;0
5e+10;-0.00230136;0.00540938
1e+11;-0.000123252;-4.16531e-05
1.5e+11;-3.2433e-06;2.27915e-05
-1.5e+11;-3.22117e-06;-2.81713e-05
-1e+11;-0.000143463;4.75683e-05
-5e+10;-0.00240293;-0.00570242
0;3.3877e-19;0
5e+10;-0.00240293;0.00570242
1e+11;-0.000143463;-4.75683e-05
1.5e+11;-3.22117e-06;2.81713e-05
-1.5e+11;-2.79312e-06;-3.47046e-05
-1e+11;-0.000166793;5.38554e-05
-5e+10;-0.00249876;-0.00599523
0;1.87212e-19;0
5e+10;-0.00249876;0.00599523
1e+11;-0.000166793;-5.38554e-05
1.5e+11;-2.79312e-06;3.47046e-05
-1.5e+11;-1.14143e-06;-4.32228e-05
-1e+11;-0.000194594;6.00293e-05
-5e+10;-0.00258754;-0.00628632
0;-2.04829e-18;0
5e+10;-0.00258754;0.00628632
1e+11;-0.000194594;-6.00293e-05
1.5e+11;-1.14143e-06;4.32228e-05
-1.5e+11;4.55302e-06;-5.65574e-05
-1e+11;-0.000231059;6.4368e-05
-5e+10;-0.00266612;-0.00656979
0;5.22276e-17;0
5e+10;-0.00266612;0.00656979
1e+11;-0.000231059;-6.4368e-05
1.5e+11;4.55302e-06;5.65574e-05
-1.5e+11;2.0182e-05;-8.07856e-05
-1e+11;-0.000285199;6.33267e-05
-5e+10;-0.00272788;-0.00683215
0;-1.28449e-16;0
5e+10;-0.00272788;0.00683215
1e+11;-0.000285199;-6.33267e-05
1.5e+11;2.0182e-05;8.07856e-05
-1.5e+11;4.50652e-05;-0.000117414
-1e+11;-0.000361288;5.83547e-05
-5e+10;-0.00276653;-0.00706629
0;4.25177e-19;0
5e+10;-0.00276653;0.00706629
1e+11;-0.000361288;-5.83547e-05
1.5e+11;4.50652e-05;0.000117414
-1.5e+11;7.04411e-05;-0.000161273
-1e+11;-0.000455335;5.65452e-05
-5e+10;-0.0027793;-0.0072773
0;1.13696e-16;0
5e+10;-0.0027793;0.0072773
1e+11;-0.000455335;-5.65452e-05
1.5e+11;7.04411e-05;0.000161273
-1.5e+11;9.16599e-05;-0.000208356
-1e+11;-0.000562257;6.08784e-05
-5e+10;-0.00276867;-0.00747204
0;-6.12069e-16;0
5e+10;-0.00276867;0.00747204
1e+11;-0.000562257;-6.08784e-05
1.5e+11;9.16599e-05;0.000208356
-1.5e+11;0.000109169;-0.000257092
-1e+11;-0.000677972;6.97855e-05
-5e+10;-0.00274054;-0.00765596
0;8.36713e-16;0
5e+10;-0.00274054;0.00765596
1e+11;-0.000677972;-6.97855e-05
1.5e+11;0.000109169;0.000257092
-1.5e+11;0.000124346;-0.000306795
-1e+11;-0.000799709;8.11085e-05
-5e+10;-0.00269987;-0.00783252
0;-6.43656e-16;0
5e+10;-0.00269987;0.00783252
1e+11;-0.000799709;-8.11085e-05
1.5e+11;0.000124346;0.000306795
-1.5e+11;0.000138083;-0.000356941
-1e+11;-0.00092565;9.32889e-05
-5e+10;-0.00264983;-0.00800366
0;-3.65804e-16;0
5e+10;-0.00264983;0.00800366
1e+11;-0.00092565;-9.32889e-05
1.5e+11;0.000138083;0.000356941
-1.5e+11;0.000150844;-0.00040706
-1e+11;-0.00105456;0.000105288
-5e+10;-0.00259239;-0.00817037
0;-2.0434e-15;0
5e+10;-0.00259239;0.00817037
1e+11;-0.00105456;-0.000105288
1.5e+11;0.000150844;0.00040706
-1.5e+11;0.000162905;-0.000456881
-1e+11;-0.0011857;0.0001165
-5e+10;-0.00252877;-0.00833334
0;-2.48639e-15;0
5e+10;-0.00252877;0.00833334
1e+11;-0.0011857;-0.0001165
1.5e+11;0.000162905;0.000456881
-1.5e+11;0.000174403;-0.000506145
-1e+11;-0.00131851;0.000126476
-5e+10;-0.00245973;-0.00849294
0;-2.23965e-15;0
5e+10;-0.00245973;0.00849294
1e+11;-0.00131851;-0.000126476
1.5e+11;0.000174403;0.000506145
-1.5e+11;0.000185343;-0.000554488
-1e+11;-0.00145246;0.000134762
-5e+10;-0.00238591;-0.00864923
0;-8.98806e-16;0
5e+10;-0.00238591;0.00864923
1e+11;-0.00145246;-0.000134762
1.5e+11;0.000185343;0.000554488
-1.5e+11;0.000195449;-0.000601035
-1e+11;-0.00158663;0.000140592
-5e+10;-0.00230826;-0.00880166
0;6.78207e-15;0
5e+10;-0.00230826;0.00880166
1e+11;-0.00158663;-0.000140592
1.5e+11;0.000195449;0.000601035
-1.5e+11;0.000203468;-0.000642964
-1e+11;-0.0017183;0.000141978
-5e+10;-0.00222974;-0.00894778
0;-1.2261e-15;0
5e+10;-0.00222974;0.00894778
1e+11;-0.0017183;-0.000141978
1.5e+11;0.000203468;0.000642964
-1.5e+11;0.000205893;-0.000672964
-1e+11;-0.00184058;0.000134294
-5e+10;-0.00215857;-0.00908098
0;1.85469e-15;0
5e+10;-0.00215857;0.00908098
1e+11;-0.00184058;-0.000134294
1.5e+11;0.000205893;0.000672964
-1.5e+11;0.000199541;-0.000684665
-1e+11;-0.00194713;0.000113848
-5e+10;-0.00210297;-0.00919571
0;-5.04568e-16;0
5e+10;-0.00210297;0.00919571
1e+11;-0.00194713;-0.000113848
1.5e+11;0.000199541;0.000684665
-1.5e+11;0.000185988;-0.000681593
-1e+11;-0.00204065;8.33221e-05
-5e+10;-0.00206076;-0.00929559
0;5.63284e-15;0
5e+10;-0.00206076;0.00929559
1e+11;-0.00204065;-8.33221e-05
1.5e+11;0.000185988;0.000681593
-1.5e+11;0.00016806;-0.000669732
-1e+11;-0.00212628;4.6769e-05
-5e+10;-0.00202649;-0.00938641
0;1.71516e-14;0
5e+10;-0.00202649;0.00938641
1e+11;-0.00212628;-4.6769e-05
1.5e+11;0.00016806;0.000669732
-1.5e+11;0.000147505;-0.000652778
-1e+11;-0.00220719;6.67495e-06
-5e+10;-0.00199678;-0.00947169
0;5.11573e-15;0
5e+10;-0.00199678;0.00947169
1e+11;-0.00220719;-6.67495e-06
1.5e+11;0.000147505;0.000652778
-1.5e+11;0.000125261;-0.000632754
-1e+11;-0.0022851;-3.55685e-05
-5e+10;-0.00196998;-0.00955341
0;-5.571e-16;0
5e+10;-0.00196998;0.00955341
1e+11;-0.0022851;3.55685e-05
1.5e+11;0.000125261;0.000632754
-1.5e+11;0.000101855;-0.000610847
-1e+11;-0.00236092;-7.90964e-05
-5e+10;-0.00194533;-0.00963272
0;8.08613e-15;0
5e+10;-0.00194533;0.00963272
1e+11;-0.00236092;7.90964e-05
1.5e+11;0.000101855;0.000610847
